epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9466,0.5118,2.16402,0.90318,0.75311,0.31071,0.66475,0.59487,0.47119,2.44176,0.82084,0.000410448,0.000410448,0.000410448
2,123.239,0.50877,1.33029,0.8868,0.66625,0.84655,0.67042,0.61109,0.45479,1.41524,0.83484,0.000786172,0.000786172,0.000786172
3,181.203,0.48585,1.17402,0.8844,0.67279,0.80479,0.81804,0.73601,0.46633,1.18434,0.84717,0.00112065,0.00112065,0.00112065
4,236.825,0.49716,1.11198,0.87822,0.53425,0.85333,0.69571,0.62656,0.44632,1.29815,0.835,0.00106437,0.00106437,0.00106437
5,292.591,0.46507,0.99662,0.87321,0.79039,0.9205,0.88319,0.8127,0.42697,0.73552,0.83391,0.0010025,0.0010025,0.0010025
6,353.282,0.44896,0.89191,0.86277,0.88943,0.88434,0.92306,0.86038,0.39424,0.64411,0.81311,0.000940625,0.000940625,0.000940625
7,412.113,0.43549,0.80301,0.86111,0.70356,0.83527,0.88455,0.82312,0.39315,0.93805,0.81742,0.00087875,0.00087875,0.00087875
8,469.539,0.43695,0.77247,0.86605,0.73633,0.83945,0.86558,0.80386,0.40514,0.86736,0.8185,0.000816875,0.000816875,0.000816875
9,527.183,0.4187,0.71373,0.85895,0.91974,0.91683,0.96174,0.90293,0.36984,0.49729,0.81122,0.000755,0.000755,0.000755
10,585.578,0.39869,0.65029,0.85585,0.93007,0.92299,0.96222,0.90405,0.37235,0.47047,0.81041,0.000693125,0.000693125,0.000693125
11,642.618,0.35773,0.63386,0.8141,0.82054,0.85933,0.89178,0.83822,0.37556,0.98934,0.81264,0.00063125,0.00063125,0.00063125
12,697.514,0.35758,0.57009,0.8142,0.95332,0.94569,0.97792,0.92639,0.36919,0.40421,0.80917,0.000569375,0.000569375,0.000569375
13,752.497,0.33723,0.49909,0.81171,0.91553,0.94691,0.97725,0.9267,0.3607,0.41599,0.81262,0.0005075,0.0005075,0.0005075
14,808.069,0.32309,0.49907,0.80868,0.93317,0.95194,0.98144,0.93122,0.35579,0.40636,0.81192,0.000445625,0.000445625,0.000445625
15,863.873,0.32625,0.47595,0.80607,0.93128,0.95882,0.98268,0.93766,0.34255,0.37463,0.80752,0.00038375,0.00038375,0.00038375
16,921.056,0.3157,0.42576,0.80151,0.93522,0.97202,0.98766,0.94776,0.34205,0.36238,0.80642,0.000321875,0.000321875,0.000321875
17,979.536,0.30941,0.38991,0.80222,0.9555,0.92047,0.9832,0.94387,0.33296,0.35827,0.80187,0.00026,0.00026,0.00026
18,1037.11,0.30132,0.34566,0.79963,0.97163,0.97244,0.9908,0.94603,0.34203,0.28769,0.80449,0.000198125,0.000198125,0.000198125
19,1094.65,0.29182,0.33229,0.7976,0.96346,0.97253,0.99024,0.952,0.32628,0.27919,0.80263,0.00013625,0.00013625,0.00013625
20,1149.89,0.28871,0.3168,0.80292,0.96642,0.9701,0.99055,0.9544,0.32053,0.26292,0.80084,7.4375e-05,7.4375e-05,7.4375e-05
