epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4921,0.52228,1.87057,0.94043,0.45284,0.71352,0.60468,0.52397,0.52102,2.6165,0.91602,0.000410628,0.000410628,0.000410628
2,73.6728,0.49769,0.93263,0.91313,0.69685,0.76714,0.75614,0.67261,0.51145,1.01496,0.92168,0.000786344,0.000786344,0.000786344
3,111.945,0.49894,0.80546,0.91808,0.86749,0.72246,0.8558,0.76067,0.52414,0.82472,0.9197,0.00112081,0.00112081,0.00112081
4,169.351,0.48006,0.68815,0.90947,0.76865,0.84882,0.90626,0.82226,0.4609,0.9825,0.89177,0.00106437,0.00106437,0.00106437
5,200.559,0.45337,0.63934,0.89888,0.90757,0.92576,0.9531,0.85678,0.45381,0.6037,0.87491,0.0010025,0.0010025,0.0010025
6,232.456,0.44593,0.57931,0.89013,0.89229,0.93406,0.95217,0.885,0.42362,0.5212,0.86099,0.000940625,0.000940625,0.000940625
7,264.375,0.43897,0.54062,0.88427,0.85426,0.93802,0.9633,0.88522,0.43356,0.51147,0.86782,0.00087875,0.00087875,0.00087875
8,296.751,0.41813,0.51962,0.88575,0.94199,0.94412,0.98419,0.92059,0.38674,0.36794,0.84034,0.000816875,0.000816875,0.000816875
9,332.628,0.4189,0.47859,0.8825,0.93994,0.94645,0.9831,0.92107,0.40752,0.38455,0.85529,0.000755,0.000755,0.000755
10,368.77,0.3876,0.44246,0.86942,0.97169,0.96549,0.99105,0.93935,0.37646,0.32158,0.83656,0.000693125,0.000693125,0.000693125
11,83.1199,0.40424,0.67356,0.84596,0.95024,0.95634,0.98913,0.92626,0.41342,0.43588,0.86124,0.00063125,0.00063125,0.00063125
12,113.514,0.36343,0.41565,0.83608,0.97641,0.9531,0.99082,0.93396,0.38709,0.3212,0.84437,0.000569375,0.000569375,0.000569375
13,144.59,0.34063,0.37539,0.8301,0.907,0.92512,0.98626,0.9355,0.37362,0.38249,0.8367,0.0005075,0.0005075,0.0005075
14,176.908,0.33905,0.33039,0.8324,0.95773,0.96711,0.98907,0.93469,0.36544,0.31402,0.83941,0.000445625,0.000445625,0.000445625
15,211.509,0.32953,0.31753,0.82797,0.97125,0.98507,0.99291,0.95139,0.3598,0.26704,0.83727,0.00038375,0.00038375,0.00038375
16,247.076,0.31806,0.29413,0.83042,0.94397,0.97371,0.99281,0.94552,0.35116,0.27802,0.82814,0.000321875,0.000321875,0.000321875
17,280.42,0.30287,0.25925,0.81838,0.99008,0.99328,0.994,0.95641,0.35217,0.22949,0.82584,0.00026,0.00026,0.00026
18,315.416,0.29951,0.25141,0.82181,0.99073,0.98069,0.99412,0.95623,0.34538,0.22089,0.82498,0.000198125,0.000198125,0.000198125
19,349.917,0.2929,0.23894,0.81857,0.9904,0.99433,0.99324,0.95476,0.33917,0.20584,0.82368,0.00013625,0.00013625,0.00013625
20,384.914,0.28343,0.2154,0.809,0.99041,0.99209,0.99319,0.95407,0.33483,0.1988,0.81993,7.4375e-05,7.4375e-05,7.4375e-05
