epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.465,0.64932,0.68643,0.99118,0.95425,0.9442,0.98607,0.8882,0.52011,0.51921,0.90338,0.000414894,0.000414894,0.000414894
2,654.595,0.67236,0.71172,1.00176,0.92785,0.94032,0.98277,0.87706,0.54434,0.53461,0.91101,0.000790398,0.000790398,0.000790398
3,991.006,0.65473,0.68602,0.99298,0.90966,0.888,0.95876,0.87044,0.48982,0.65595,0.89082,0.00112465,0.00112465,0.00112465
4,1365.91,0.63853,0.62154,0.98913,0.92165,0.93653,0.983,0.89832,0.46825,0.48469,0.88672,0.00106437,0.00106437,0.00106437
5,1674.02,0.61116,0.57783,0.97519,0.95485,0.95322,0.97692,0.8951,0.46835,0.46758,0.87338,0.0010025,0.0010025,0.0010025
6,2004.51,0.58741,0.55388,0.95846,0.97737,0.97115,0.99118,0.93401,0.40929,0.34578,0.85552,0.000940625,0.000940625,0.000940625
7,2302.08,0.541,0.50473,0.93989,0.97025,0.97801,0.99223,0.92825,0.43241,0.33095,0.85737,0.00087875,0.00087875,0.00087875
8,2625.29,0.52469,0.48196,0.93061,0.95068,0.96303,0.99065,0.93994,0.41721,0.33081,0.86341,0.000816875,0.000816875,0.000816875
9,2938.48,0.51687,0.46018,0.92627,0.96287,0.96174,0.99058,0.94564,0.37932,0.34477,0.84463,0.000755,0.000755,0.000755
10,3185.68,0.48555,0.43201,0.91493,0.97663,0.97702,0.99183,0.93854,0.39121,0.28892,0.84118,0.000693125,0.000693125,0.000693125
11,3400.33,0.4898,0.38159,0.8914,0.98604,0.98725,0.99432,0.94644,0.38925,0.27053,0.8396,0.00063125,0.00063125,0.00063125
12,3614.87,0.47946,0.35801,0.88564,0.9865,0.98365,0.9939,0.94907,0.37065,0.25395,0.83508,0.000569375,0.000569375,0.000569375
13,3851.93,0.46589,0.337,0.88197,0.98389,0.97822,0.99408,0.95054,0.35948,0.26298,0.82933,0.0005075,0.0005075,0.0005075
14,4144.37,0.45215,0.30891,0.87225,0.97896,0.98266,0.99338,0.95259,0.36097,0.25549,0.83183,0.000445625,0.000445625,0.000445625
15,4381.16,0.43843,0.29207,0.87168,0.98437,0.97611,0.99405,0.95559,0.34608,0.23624,0.82392,0.00038375,0.00038375,0.00038375
16,4601.74,0.42453,0.27659,0.86751,0.98219,0.98679,0.9944,0.95955,0.34018,0.22486,0.8203,0.000321875,0.000321875,0.000321875
17,4847.42,0.42562,0.26091,0.86499,0.98901,0.99237,0.99467,0.96275,0.33065,0.20238,0.81893,0.00026,0.00026,0.00026
18,5115.74,0.40201,0.24181,0.85831,0.99032,0.99056,0.99474,0.96164,0.32834,0.19349,0.81478,0.000198125,0.000198125,0.000198125
19,5343.99,0.38935,0.22799,0.84992,0.9943,0.99077,0.99481,0.96207,0.32371,0.18155,0.81362,0.00013625,0.00013625,0.00013625
20,5555.03,0.38246,0.21872,0.84578,0.99505,0.99017,0.99493,0.9651,0.31629,0.17675,0.80997,7.4375e-05,7.4375e-05,7.4375e-05
